ANAT212-201701,ANAT212,ANAT,212,201701,W2017,3,B+,3.3,1,001
ANAT212-201801,ANAT212,ANAT,212,201801,W2018,3,B+,3.3,1,001
ANAT214-201409,ANAT214,ANAT,214,201409,F2014,3,B+,3.3,1,001
ANAT214-201609,ANAT214,ANAT,214,201609,F2016,3,B+,3.3,1,001
ANAT214-201709,ANAT214,ANAT,214,201709,F2017,3,B+,3.3,1,001
ANAT214-201809,ANAT214,ANAT,214,201809,F2018,3,B+,3.3,1,001
ANAT261-201309,ANAT261,ANAT,261,201309,F2013,4,B,3.0,1,001
ANAT261-201509,ANAT261,ANAT,261,201509,F2015,4,B+,3.3,1,001
ANAT261-201609,ANAT261,ANAT,261,201609,F2016,4,B,3.0,1,001
ANAT261-201709,ANAT261,ANAT,261,201709,F2017,4,A-,3.7,1,001
ANAT261-201809,ANAT261,ANAT,261,201809,F2018,4,B+,3.3,1,001
ANAT262-201401,ANAT262,ANAT,262,201401,W2014,3,B+,3.3,1,001
ANAT262-201601,ANAT262,ANAT,262,201601,W2016,3,B,3.0,1,001
ANAT262-201701,ANAT262,ANAT,262,201701,W2017,3,B,3.0,1,001
ANAT262-201801,ANAT262,ANAT,262,201801,W2018,3,B+,3.3,1,001
ANAT315-201409,ANAT315,ANAT,315,201409,F2014,3,B+,3.3,1,001
ANAT315-201609,ANAT315,ANAT,315,201609,F2016,3,B+,3.3,1,001
ANAT315-201709,ANAT315,ANAT,315,201709,F2017,3,B+,3.3,1,001
ANAT315-201809,ANAT315,ANAT,315,201809,F2018,3,B+,3.3,1,001
ANAT316-201501,ANAT316,ANAT,316,201501,W2015,3,A-,3.7,1,001
ANAT316-201701,ANAT316,ANAT,316,201701,W2017,3,B+,3.3,1,001
ANAT316-201801,ANAT316,ANAT,316,201801,W2018,3,B+,3.3,1,001
ANAT321-201509,ANAT321,ANAT,321,201509,F2015,3,A-,3.7,1,001
